,title,cast,director,keywords,genres,fea
10,Superman Returns,"['brandonrouth', 'kevinspacey', 'katebosworth', 'jamesmarsden', 'parkerposey']",bryansinger,"['savingtheworld', 'dccomics', 'invulnerability', 'sequel', 'superhero']","['adventure', 'fantasy', 'action', 'sciencefiction']",savingtheworld dccomics invulnerability sequel superhero brandonrouth kevinspacey katebosworth jamesmarsden parkerposey bryansinger adventure fantasy action sciencefiction
11,Quantum of Solace,"['danielcraig', 'olgakurylenko', 'mathieuamalric', 'judidench', 'giancarlogiannini']",marcforster,"['killing', 'undercover', 'secretagent', 'britishsecretservice']","['adventure', 'action', 'thriller', 'crime']",killing undercover secretagent britishsecretservice danielcraig olgakurylenko mathieuamalric judidench giancarlogiannini marcforster adventure action thriller crime
12,Pirates of the Caribbean: Dead Man's Chest,"['johnnydepp', 'orlandobloom', 'keiraknightley', 'stellanskarsgård', 'billnighy']",goreverbinski,"['witch', 'fortuneteller', 'bondage', 'exoticisland', 'monster']","['adventure', 'fantasy', 'action']",witch fortuneteller bondage exoticisland monster johnnydepp orlandobloom keiraknightley stellanskarsgård billnighy goreverbinski adventure fantasy action
13,The Lone Ranger,"['johnnydepp', 'armiehammer', 'williamfichtner', 'helenabonhamcarter', 'jamesbadgedale']",goreverbinski,"['texas', 'horse', 'survivor', 'texasranger', 'partner']","['action', 'adventure', 'western']",texas horse survivor texasranger partner johnnydepp armiehammer williamfichtner helenabonhamcarter jamesbadgedale goreverbinski action adventure western
14,Man of Steel,"['henrycavill', 'amyadams', 'michaelshannon', 'kevincostner', 'dianelane']",zacksnyder,"['savingtheworld', 'dccomics', 'superhero', 'basedoncomicbook', 'superhuman']","['action', 'adventure', 'fantasy', 'sciencefiction']",savingtheworld dccomics superhero basedoncomicbook superhuman henrycavill amyadams michaelshannon kevincostner dianelane zacksnyder action adventure fantasy sciencefiction
15,The Chronicles of Narnia: Prince Caspian,"['benbarnes', 'williammoseley', 'annapopplewell', 'skandarkeynes', 'georgiehenley']",andrewadamson,"['basedonnovel', 'fictionalplace', 'brothersisterrelationship', 'lion', 'humanbeing']","['adventure', 'family', 'fantasy']",basedonnovel fictionalplace brothersisterrelationship lion humanbeing benbarnes williammoseley annapopplewell skandarkeynes georgiehenley andrewadamson adventure family fantasy
16,The Avengers,"['robertdowneyjr.', 'chrisevans', 'markruffalo', 'chrishemsworth', 'scarlettjohansson']",josswhedon,"['newyork', 'shield', 'marvelcomic', 'superhero', 'basedoncomicbook']","['sciencefiction', 'action', 'adventure']",newyork shield marvelcomic superhero basedoncomicbook robertdowneyjr. chrisevans markruffalo chrishemsworth scarlettjohansson josswhedon sciencefiction action adventure
17,Pirates of the Caribbean: On Stranger Tides,"['johnnydepp', 'penélopecruz', 'ianmcshane', 'kevinmcnally', 'geoffreyrush']",robmarshall,"['sea', 'captain', 'mutiny', 'sword', 'primeminister']","['adventure', 'action', 'fantasy']",sea captain mutiny sword primeminister johnnydepp penélopecruz ianmcshane kevinmcnally geoffreyrush robmarshall adventure action fantasy
18,Men in Black 3,"['willsmith', 'tommyleejones', 'joshbrolin', 'michaelstuhlbarg', 'emmathompson']",barrysonnenfeld,"['timetravel', 'timemachine', 'alien', 'fictionalgovernmentagency', 'seeingthefuture']","['action', 'comedy', 'sciencefiction']",timetravel timemachine alien fictionalgovernmentagency seeingthefuture willsmith tommyleejones joshbrolin michaelstuhlbarg emmathompson barrysonnenfeld action comedy sciencefiction
19,The Hobbit: The Battle of the Five Armies,"['martinfreeman', 'ianmckellen', 'richardarmitage', 'kenstott', 'grahammctavish']",peterjackson,"['corruption', 'elves', 'dwarves', 'orcs', 'middle-earth(tolkien)']","['action', 'adventure', 'fantasy']",corruption elves dwarves orcs middle-earth(tolkien) martinfreeman ianmckellen richardarmitage kenstott grahammctavish peterjackson action adventure fantasy
20,The Amazing Spider-Man,"['andrewgarfield', 'emmastone', 'rhysifans', 'denisleary', 'campbellscott']",marcwebb,"['lossoffather', 'vigilante', 'serum', 'marvelcomic', 'scientificexperiment']","['action', 'adventure', 'fantasy']",lossoffather vigilante serum marvelcomic scientificexperiment andrewgarfield emmastone rhysifans denisleary campbellscott marcwebb action adventure fantasy
21,Robin Hood,"['russellcrowe', 'cateblanchett', 'maxvonsydow', 'williamhurt', 'markstrong']",ridleyscott,"['robinhood', 'archer', 'knight', 'sherwoodforest', 'bowandarrow']","['action', 'adventure']",robinhood archer knight sherwoodforest bowandarrow russellcrowe cateblanchett maxvonsydow williamhurt markstrong ridleyscott action adventure
22,The Hobbit: The Desolation of Smaug,"['martinfreeman', 'ianmckellen', 'richardarmitage', 'kenstott', 'grahammctavish']",peterjackson,"['elves', 'dwarves', 'orcs', 'hobbit', 'dragon']","['adventure', 'fantasy']",elves dwarves orcs hobbit dragon martinfreeman ianmckellen richardarmitage kenstott grahammctavish peterjackson adventure fantasy
23,The Golden Compass,"['dakotabluerichards', 'nicolekidman', 'danielcraig', 'samelliott', 'evagreen']",chrisweitz,"['england', 'compass', 'experiment', 'lordship', 'uncle']","['adventure', 'fantasy']",england compass experiment lordship uncle dakotabluerichards nicolekidman danielcraig samelliott evagreen chrisweitz adventure fantasy
24,King Kong,"['naomiwatts', 'jackblack', 'adrienbrody', 'thomaskretschmann', 'colinhanks']",peterjackson,"['filmbusiness', 'screenplay', 'showbusiness', 'filmmaking', 'filmproducer']","['adventure', 'drama', 'action']",filmbusiness screenplay showbusiness filmmaking filmproducer naomiwatts jackblack adrienbrody thomaskretschmann colinhanks peterjackson adventure drama action
25,Titanic,"['katewinslet', 'leonardodicaprio', 'francesfisher', 'billyzane', 'kathybates']",jamescameron,"['shipwreck', 'iceberg', 'ship', 'panic', 'titanic']","['drama', 'romance', 'thriller']",shipwreck iceberg ship panic titanic katewinslet leonardodicaprio francesfisher billyzane kathybates jamescameron drama romance thriller
26,Captain America: Civil War,"['chrisevans', 'robertdowneyjr.', 'scarlettjohansson', 'sebastianstan', 'anthonymackie']",anthonyrusso,"['civilwar', 'war', 'marvelcomic', 'sequel', 'superhero']","['adventure', 'action', 'sciencefiction']",civilwar war marvelcomic sequel superhero chrisevans robertdowneyjr. scarlettjohansson sebastianstan anthonymackie anthonyrusso adventure action sciencefiction
27,Battleship,"['taylorkitsch', 'alexanderskarsgård', 'rihanna', 'brooklyndecker', 'tadanobuasano']",peterberg,"['fight', 'u.s.navy', 'mindreading', 'hongkong', 'soccer']","['thriller', 'action', 'adventure', 'sciencefiction']",fight u.s.navy mindreading hongkong soccer taylorkitsch alexanderskarsgård rihanna brooklyndecker tadanobuasano peterberg thriller action adventure sciencefiction
28,Jurassic World,"['chrispratt', 'brycedallashoward', 'irrfankhan', ""vincentd'onofrio"", 'nickrobinson']",colintrevorrow,"['monster', 'dna', 'tyrannosaurusrex', 'velociraptor', 'island']","['action', 'adventure', 'sciencefiction', 'thriller']",monster dna tyrannosaurusrex velociraptor island chrispratt brycedallashoward irrfankhan vincentd'onofrio nickrobinson colintrevorrow action adventure sciencefiction thriller
29,Skyfall,"['danielcraig', 'judidench', 'javierbardem', 'ralphfiennes', 'naomieharris']",sammendes,"['spy', 'secretagent', 'sociopath', 'killer', 'artgallery']","['action', 'adventure', 'thriller']",spy secretagent sociopath killer artgallery danielcraig judidench javierbardem ralphfiennes naomieharris sammendes action adventure thriller
30,Spider-Man 2,"['tobeymaguire', 'kirstendunst', 'jamesfranco', 'alfredmolina', 'rosemaryharris']",samraimi,"['dualidentity', ""loveofone'slife"", 'pizzaboy', 'marvelcomic', 'sequel']","['action', 'adventure', 'fantasy']",dualidentity loveofone'slife pizzaboy marvelcomic sequel tobeymaguire kirstendunst jamesfranco alfredmolina rosemaryharris samraimi action adventure fantasy
31,Iron Man 3,"['robertdowneyjr.', 'gwynethpaltrow', 'doncheadle', 'guypearce', 'rebeccahall']",shaneblack,"['terrorist', 'waronterror', 'tennessee', 'malibu', 'marvelcomic']","['action', 'adventure', 'sciencefiction']",terrorist waronterror tennessee malibu marvelcomic robertdowneyjr. gwynethpaltrow doncheadle guypearce rebeccahall shaneblack action adventure sciencefiction
32,Alice in Wonderland,"['miawasikowska', 'johnnydepp', 'annehathaway', 'helenabonhamcarter', 'crispinglover']",timburton,"['basedonnovel', 'fictionalplace', 'queen', 'fantasy', 'aliceinwonderland']","['family', 'fantasy', 'adventure']",basedonnovel fictionalplace queen fantasy aliceinwonderland miawasikowska johnnydepp annehathaway helenabonhamcarter crispinglover timburton family fantasy adventure
33,X-Men: The Last Stand,"['hughjackman', 'halleberry', 'ianmckellen', 'patrickstewart', 'famkejanssen']",brettratner,"['mutant', 'marvelcomic', 'basedoncomicbook', 'superhuman', 'beast']","['adventure', 'action', 'sciencefiction', 'thriller']",mutant marvelcomic basedoncomicbook superhuman beast hughjackman halleberry ianmckellen patrickstewart famkejanssen brettratner adventure action sciencefiction thriller
34,Monsters University,"['billycrystal', 'johngoodman', 'stevebuscemi', 'helenmirren', 'noahjohnston']",danscanlon,"['monster', 'dormitory', 'games', 'animation', 'bestfriend']","['animation', 'family']",monster dormitory games animation bestfriend billycrystal johngoodman stevebuscemi helenmirren noahjohnston danscanlon animation family
35,Transformers: Revenge of the Fallen,"['shialabeouf', 'meganfox', 'joshduhamel', 'rainnwilson', 'tyresegibson']",michaelbay,"['egypt', 'sun', 'chaos', 'symbol', 'artifact']","['sciencefiction', 'action', 'adventure']",egypt sun chaos symbol artifact shialabeouf meganfox joshduhamel rainnwilson tyresegibson michaelbay sciencefiction action adventure
36,Transformers: Age of Extinction,"['markwahlberg', 'stanleytucci', 'kelseygrammer', 'nicolapeltz', 'jackreynor']",michaelbay,"['sequel', 'alien', 'transformers', 'giantrobot', 'robot']","['sciencefiction', 'action', 'adventure']",sequel alien transformers giantrobot robot markwahlberg stanleytucci kelseygrammer nicolapeltz jackreynor michaelbay sciencefiction action adventure
37,Oz: The Great and Powerful,"['jamesfranco', 'milakunis', 'rachelweisz', 'michellewilliams', 'zachbraff']",samraimi,"['circus', 'witch', 'magic', 'hope', 'illusion']","['fantasy', 'adventure', 'family']",circus witch magic hope illusion jamesfranco milakunis rachelweisz michellewilliams zachbraff samraimi fantasy adventure family
38,The Amazing Spider-Man 2,"['andrewgarfield', 'emmastone', 'jamiefoxx', 'danedehaan', 'campbellscott']",marcwebb,"['obsession', 'marvelcomic', 'sequel', 'basedoncomicbook', 'electrocution']","['action', 'adventure', 'fantasy']",obsession marvelcomic sequel basedoncomicbook electrocution andrewgarfield emmastone jamiefoxx danedehaan campbellscott marcwebb action adventure fantasy
39,TRON: Legacy,"['garretthedlund', 'jeffbridges', 'oliviawilde', 'bruceboxleitner', 'yayadacosta']",josephkosinski,"['artificialintelligence', 'secretidentity', 'computerprogram', 'dystopia', 'computer']","['adventure', 'action', 'sciencefiction']",artificialintelligence secretidentity computerprogram dystopia computer garretthedlund jeffbridges oliviawilde bruceboxleitner yayadacosta josephkosinski adventure action sciencefiction
40,Cars 2,"['owenwilson', 'larrythecableguy', 'michaelcaine', 'emilymortimer', 'johnturturro']",johnlasseter,"['carrace', 'sequel', 'comedy', 'anthropomorphism', 'bestfriend']","['animation', 'family', 'adventure', 'comedy']",carrace sequel comedy anthropomorphism bestfriend owenwilson larrythecableguy michaelcaine emilymortimer johnturturro johnlasseter animation family adventure comedy
41,Green Lantern,"['ryanreynolds', 'blakelively', 'petersarsgaard', 'timrobbins', 'markstrong']",martincampbell,"['dccomics', 'transformation', 'superhero', 'alien', 'alieninfection']","['adventure', 'action', 'thriller', 'sciencefiction']",dccomics transformation superhero alien alieninfection ryanreynolds blakelively petersarsgaard timrobbins markstrong martincampbell adventure action thriller sciencefiction
42,Toy Story 3,"['tomhanks', 'timallen', 'nedbeatty', 'joancusack', 'michaelkeaton']",leeunkrich,"['hostage', 'college', 'toy', 'barbie', 'animation']","['animation', 'family', 'comedy']",hostage college toy barbie animation tomhanks timallen nedbeatty joancusack michaelkeaton leeunkrich animation family comedy
43,Terminator Salvation,"['christianbale', 'samworthington', 'antonyelchin', 'moonbloodgood', 'brycedallashoward']",mcg,"['savingtheworld', 'artificialintelligence', 'prophecy', 'sanfrancisco', 'cyborg']","['action', 'sciencefiction', 'thriller']",savingtheworld artificialintelligence prophecy sanfrancisco cyborg christianbale samworthington antonyelchin moonbloodgood brycedallashoward mcg action sciencefiction thriller
44,Furious 7,"['vindiesel', 'paulwalker', 'dwaynejohnson', 'michellerodriguez', 'tyresegibson']",jameswan,"['carrace', 'speed', 'revenge', 'suspense', 'car']",['action'],carrace speed revenge suspense car vindiesel paulwalker dwaynejohnson michellerodriguez tyresegibson jameswan action
45,World War Z,"['bradpitt', 'mireilleenos', 'abigailhargrove', 'sterlingjerins', 'jamesbadgedale']",marcforster,"['dystopia', 'apocalypse', 'zombie', 'nuclearweapons', 'multipleperspectives']","['action', 'drama', 'horror', 'sciencefiction', 'thriller']",dystopia apocalypse zombie nuclearweapons multipleperspectives bradpitt mireilleenos abigailhargrove sterlingjerins jamesbadgedale marcforster action drama horror sciencefiction thriller
46,X-Men: Days of Future Past,"['hughjackman', 'jamesmcavoy', 'michaelfassbender', 'jenniferlawrence', 'halleberry']",bryansinger,"['1970s', 'mutant', 'timetravel', 'marvelcomic', 'basedoncomicbook']","['action', 'adventure', 'fantasy', 'sciencefiction']",1970s mutant timetravel marvelcomic basedoncomicbook hughjackman jamesmcavoy michaelfassbender jenniferlawrence halleberry bryansinger action adventure fantasy sciencefiction
47,Star Trek Into Darkness,"['chrispine', 'zacharyquinto', 'zoesaldana', 'karlurban', 'simonpegg']",j.j.abrams,"['spacecraft', 'friendship', 'sequel', 'futuristic', 'space']","['action', 'adventure', 'sciencefiction']",spacecraft friendship sequel futuristic space chrispine zacharyquinto zoesaldana karlurban simonpegg j.j.abrams action adventure sciencefiction
48,Jack the Giant Slayer,"['nicholashoult', 'eleanortomlinson', 'ewanmcgregor', 'stanleytucci', 'ianmcshane']",bryansinger,"['basedonfairytale', 'giant']","['action', 'family', 'fantasy']",basedonfairytale giant nicholashoult eleanortomlinson ewanmcgregor stanleytucci ianmcshane bryansinger action family fantasy
49,The Great Gatsby,"['leonardodicaprio', 'tobeymaguire', 'careymulligan', 'joeledgerton', 'elizabethdebicki']",bazluhrmann,"['basedonnovel', 'infidelity', 'obsession', 'hope', '3d']","['drama', 'romance']",basedonnovel infidelity obsession hope 3d leonardodicaprio tobeymaguire careymulligan joeledgerton elizabethdebicki bazluhrmann drama romance
50,Prince of Persia: The Sands of Time,"['jakegyllenhaal', 'gemmaarterton', 'benkingsley', 'alfredmolina', 'stevetoussaint']",mikenewell,"['persia', 'sandstorm', 'brotheragainstbrother', 'armageddon', 'regent']","['adventure', 'fantasy', 'action', 'romance']",persia sandstorm brotheragainstbrother armageddon regent jakegyllenhaal gemmaarterton benkingsley alfredmolina stevetoussaint mikenewell adventure fantasy action romance
51,Pacific Rim,"['idriselba', 'charliehunnam', 'charlieday', 'ronperlman', 'burngorman']",guillermodeltoro,"['dystopia', 'giantrobot', 'giantmonster', 'apocalypse', 'imax']","['action', 'sciencefiction', 'adventure']",dystopia giantrobot giantmonster apocalypse imax idriselba charliehunnam charlieday ronperlman burngorman guillermodeltoro action sciencefiction adventure
52,Transformers: Dark of the Moon,"['shialabeouf', 'johnmalkovich', 'kenjeong', 'francesmcdormand', 'joshduhamel']",michaelbay,"['moon', 'spacecraft', 'traitor', 'bodyguard', 'alienplanet']","['action', 'sciencefiction', 'adventure']",moon spacecraft traitor bodyguard alienplanet shialabeouf johnmalkovich kenjeong francesmcdormand joshduhamel michaelbay action sciencefiction adventure
53,Indiana Jones and the Kingdom of the Crystal Skull,"['harrisonford', 'cateblanchett', 'shialabeouf', 'raywinstone', 'karenallen']",stevenspielberg,"['savingtheworld', 'riddle', 'whip', 'treasure', 'mexicocity']","['adventure', 'action']",savingtheworld riddle whip treasure mexicocity harrisonford cateblanchett shialabeouf raywinstone karenallen stevenspielberg adventure action
54,The Good Dinosaur,"['raymondochoa', 'jackbright', 'jeffreywright', 'francesmcdormand', 'maleahnipay-padilla']",petersohn,"['tyrannosaurusrex', 'friends', 'alternatehistory', 'dinosaur', 'fear']","['adventure', 'animation', 'family']",tyrannosaurusrex friends alternatehistory dinosaur fear raymondochoa jackbright jeffreywright francesmcdormand maleahnipay-padilla petersohn adventure animation family
55,Brave,"['kellymacdonald', 'juliewalters', 'billyconnolly', 'emmathompson', 'kevinmckidd']",brendachapman,"['scotland', 'rebel', 'bravery', 'kingdom', 'archer']","['animation', 'adventure', 'comedy', 'family', 'action']",scotland rebel bravery kingdom archer kellymacdonald juliewalters billyconnolly emmathompson kevinmckidd brendachapman animation adventure comedy family action
56,Star Trek Beyond,"['chrispine', 'zacharyquinto', 'karlurban', 'simonpegg', 'zoesaldana']",justinlin,"['sequel', 'stranded', 'hatred', 'spaceopera']","['action', 'adventure', 'sciencefiction']",sequel stranded hatred spaceopera chrispine zacharyquinto karlurban simonpegg zoesaldana justinlin action adventure sciencefiction
57,WALL·E,"['benburtt', 'elissaknight', 'jeffgarlin', 'fredwillard', 'johnratzenberger']",andrewstanton,['romanticcomedy'],"['animation', 'family']",romanticcomedy benburtt elissaknight jeffgarlin fredwillard johnratzenberger andrewstanton animation family
58,Rush Hour 3,"['christucker', 'jackiechan', 'hiroyukisanada', 'maxvonsydow', 'yvanattal']",brettratner,['ambassador'],"['action', 'comedy', 'crime', 'thriller']",ambassador christucker jackiechan hiroyukisanada maxvonsydow yvanattal brettratner action comedy crime thriller
59,2012,"['johncusack', 'amandapeet', 'chiwetelejiofor', 'thandienewton', 'oliverplatt']",rolandemmerich,"['civilization', 'naturaldisaster', 'endoftheworld', 'disaster', 'apocalypse']","['action', 'adventure', 'sciencefiction']",civilization naturaldisaster endoftheworld disaster apocalypse johncusack amandapeet chiwetelejiofor thandienewton oliverplatt rolandemmerich action adventure sciencefiction
60,A Christmas Carol,"['garyoldman', 'jimcarrey', 'stevevalentine', 'darylsabara', 'sageryan']",robertzemeckis,"['holiday', 'basedonnovel', 'victorianengland', 'money', 'christmaseve']","['animation', 'drama']",holiday basedonnovel victorianengland money christmaseve garyoldman jimcarrey stevevalentine darylsabara sageryan robertzemeckis animation drama
61,Jupiter Ascending,"['milakunis', 'channingtatum', 'seanbean', 'eddieredmayne', 'douglasbooth']",lillywachowski,"['jupiter', 'space', 'womandirector', '3d', 'interspeciesromance']","['sciencefiction', 'fantasy', 'action', 'adventure']",jupiter space womandirector 3d interspeciesromance milakunis channingtatum seanbean eddieredmayne douglasbooth lillywachowski sciencefiction fantasy action adventure
62,The Legend of Tarzan,"['alexanderskarsgård', 'margotrobbie', 'christophwaltz', 'samuell.jackson', 'djimonhounsou']",davidyates,"['africa', 'feralchild', 'tarzan', 'jungle', 'animalattack']","['action', 'adventure']",africa feralchild tarzan jungle animalattack alexanderskarsgård margotrobbie christophwaltz samuell.jackson djimonhounsou davidyates action adventure
63,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","['williammoseley', 'annapopplewell', 'skandarkeynes', 'georgiehenley', 'liamneeson']",andrewadamson,"['savingtheworld', 'witch', 'basedonnovel', 'brothersisterrelationship', 'selfsacrifice']","['adventure', 'family', 'fantasy']",savingtheworld witch basedonnovel brothersisterrelationship selfsacrifice williammoseley annapopplewell skandarkeynes georgiehenley liamneeson andrewadamson adventure family fantasy
64,X-Men: Apocalypse,"['jamesmcavoy', 'michaelfassbender', 'jenniferlawrence', 'nicholashoult', 'oscarisaac']",bryansinger,"['mutant', 'supernaturalpowers', 'marvelcomic', 'superhero', 'basedoncomicbook']",['sciencefiction'],mutant supernaturalpowers marvelcomic superhero basedoncomicbook jamesmcavoy michaelfassbender jenniferlawrence nicholashoult oscarisaac bryansinger sciencefiction
65,The Dark Knight,"['christianbale', 'heathledger', 'aaroneckhart', 'michaelcaine', 'maggiegyllenhaal']",christophernolan,"['dccomics', 'crimefighter', 'secretidentity', 'scarecrow', 'sadism']","['drama', 'action', 'crime', 'thriller']",dccomics crimefighter secretidentity scarecrow sadism christianbale heathledger aaroneckhart michaelcaine maggiegyllenhaal christophernolan drama action crime thriller
66,Up,"['edasner', 'christopherplummer', 'jordannagai', 'bobpeterson', 'delroylindo']",petedocter,"['agedifference', 'centralandsouthamerica', 'balloon', 'animation', 'floatingintheair']","['animation', 'comedy', 'family', 'adventure']",agedifference centralandsouthamerica balloon animation floatingintheair edasner christopherplummer jordannagai bobpeterson delroylindo petedocter animation comedy family adventure
67,Monsters vs Aliens,"['sethrogen', 'reesewitherspoon', 'hughlaurie', 'paulrudd', 'kiefersutherland']",conradvernon,"['alien', 'giantrobot', 'duringcreditsstinger']","['animation', 'family', 'adventure', 'sciencefiction']",alien giantrobot duringcreditsstinger sethrogen reesewitherspoon hughlaurie paulrudd kiefersutherland conradvernon animation family adventure sciencefiction
68,Iron Man,"['robertdowneyjr.', 'terrencehoward', 'jeffbridges', 'shauntoub', 'gwynethpaltrow']",jonfavreau,"['middleeast', 'armsdealer', 'malibu', 'marvelcomic', 'superhero']","['action', 'sciencefiction', 'adventure']",middleeast armsdealer malibu marvelcomic superhero robertdowneyjr. terrencehoward jeffbridges shauntoub gwynethpaltrow jonfavreau action sciencefiction adventure
69,Hugo,"['benkingsley', 'sachabaroncohen', 'asabutterfield', 'chloëgracemoretz', 'raywinstone']",martinscorsese,"['library', 'clock', 'filmdirector', 'key', 'toy']","['adventure', 'drama', 'family']",library clock filmdirector key toy benkingsley sachabaroncohen asabutterfield chloëgracemoretz raywinstone martinscorsese adventure drama family
70,Wild Wild West,"['willsmith', 'kevinkline', 'kennethbranagh', 'salmahayek', 'm.emmetwalsh']",barrysonnenfeld,"['steampunk', 'basedontvseries', 'steamlocomotive', 'drag']","['action', 'adventure', 'comedy', 'sciencefiction', 'western']",steampunk basedontvseries steamlocomotive drag willsmith kevinkline kennethbranagh salmahayek m.emmetwalsh barrysonnenfeld action adventure comedy sciencefiction western
71,The Mummy: Tomb of the Dragon Emperor,"['brendanfraser', 'jetli', 'johnhannah', 'mariabello', 'lukeford']",robcohen,[],"['adventure', 'action', 'fantasy']", brendanfraser jetli johnhannah mariabello lukeford robcohen adventure action fantasy
72,Suicide Squad,"['willsmith', 'margotrobbie', 'joelkinnaman', 'violadavis', 'jaredleto']",davidayer,"['dccomics', 'shareduniverse', 'antihero', 'secretmission', 'villain']","['action', 'adventure', 'crime', 'fantasy', 'sciencefiction']",dccomics shareduniverse antihero secretmission villain willsmith margotrobbie joelkinnaman violadavis jaredleto davidayer action adventure crime fantasy sciencefiction
73,Evan Almighty,"['stevecarell', 'laurengraham', 'johngoodman', 'jimmybennett', 'johnmichaelhiggins']",tomshadyac,"['fathersonrelationship', 'dailylife', 'marriedcouple', 'support', 'father']","['fantasy', 'comedy', 'family']",fathersonrelationship dailylife marriedcouple support father stevecarell laurengraham johngoodman jimmybennett johnmichaelhiggins tomshadyac fantasy comedy family
74,Edge of Tomorrow,"['tomcruise', 'emilyblunt', 'brendangleeson', 'billpaxton', 'jonasarmstrong']",dougliman,"['dejavu', 'timewarp', 'restart', 'dystopia', 'war']","['action', 'sciencefiction']",dejavu timewarp restart dystopia war tomcruise emilyblunt brendangleeson billpaxton jonasarmstrong dougliman action sciencefiction
75,Waterworld,"['kevincostner', 'chaimgirafi', 'rickaviles', 'r.d.call', 'zittokazann']",kevinreynolds,"['ocean', 'tattoo', 'mutant', 'water', 'dystopia']","['adventure', 'action']",ocean tattoo mutant water dystopia kevincostner chaimgirafi rickaviles r.d.call zittokazann kevinreynolds adventure action
76,G.I. Joe: The Rise of Cobra,"['dennisquaid', 'channingtatum', 'marlonwayans', 'siennamiller', 'josephgordon-levitt']",stephensommers,"['terrorist', 'secret', 'hostage', 'technology', 'warhead']","['adventure', 'action', 'thriller', 'sciencefiction']",terrorist secret hostage technology warhead dennisquaid channingtatum marlonwayans siennamiller josephgordon-levitt stephensommers adventure action thriller sciencefiction
